"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"188",121,"seed159prdrotatednt","Virtuoso","sparql3",5.67445652801825,3438,605873,0,0,"rot"
"189",121,"seed159prdrotatednt","Virtuoso","sparql2",252.924299271684,3438,13593,0,0,"rot"
"190",121,"seed159prdrotatednt","Virtuoso","sparql1",5.54503607983046,3438,620014,0,0,"rot"
"191",121,"seed159prdrotatednt","Virtuoso","sparql0",532.692903625659,3438,6454,0,0,"rot"
"192",121,"seed159prdrotatednt","Virtuoso","sparql7",2.43558935878399,3438,1411568,0,0,"rot"
"193",122,"seed1prdrotatednt","Virtuoso","sparql6",65.7425813499525,3671,55839,0,0,"rot"
"194",122,"seed1prdrotatednt","Virtuoso","sparql5",5.7333037635836,3671,640294,0,0,"rot"
"195",122,"seed1prdrotatednt","Virtuoso","sparql4",14.5931140854757,3671,251557,0,0,"rot"
"196",122,"seed1prdrotatednt","Virtuoso","sparql3",5.78470983479461,3671,634604,0,0,"rot"
"197",122,"seed1prdrotatednt","Virtuoso","sparql2",253.592152528323,3671,14476,0,0,"rot"
"198",122,"seed1prdrotatednt","Virtuoso","sparql1",5.65005663908589,3671,649728,0,0,"rot"
"199",122,"seed1prdrotatednt","Virtuoso","sparql0",532.106102333672,3671,6899,0,0,"rot"
"200",122,"seed1prdrotatednt","Virtuoso","sparql7",2.75814501787047,3671,1330967,0,0,"rot"
"201",123,"seed321prdrotatednt","Virtuoso","sparql6",63.5441480383032,4028,63389,0,0,"rot"
"202",123,"seed321prdrotatednt","Virtuoso","sparql5",5.6530556393721,4028,712535,0,0,"rot"
"203",123,"seed321prdrotatednt","Virtuoso","sparql4",12.6912591985629,4027,317305,0,0,"rot"
"204",123,"seed321prdrotatednt","Virtuoso","sparql3",5.71978859365923,4027,704047,0,0,"rot"
"205",123,"seed321prdrotatednt","Virtuoso","sparql2",253.492762743864,4028,15890,0,0,"rot"
"206",123,"seed321prdrotatednt","Virtuoso","sparql1",5.57818249298226,4028,722099,0,0,"rot"
